configuration,repetition,f1_macro,accuracy,train_seconds,inference_ms_per_sample,model_size_kb,parameters
boosting,43.0,0.9619111259605746,0.9649122807017544,0.719515799995861,0.09540438597405068,315.349609375,33.0
boosting_pca,43.0,0.9539245008487591,0.956140350877193,0.5926139999937732,0.09674035084715701,274.294921875,0.0
random_forest,43.0,0.9526381387619444,0.956140350877193,0.505317399991327,0.5890938596087181,370.822265625,32.0
random_forest_pca,43.0,0.9163609684519443,0.9210526315789473,0.4953244999924209,0.5637017543848375,552.6083984375,0.0
svm,43.0,0.9811507936507937,0.9824561403508771,0.024996899999678135,0.08874298241847244,28.529296875,0.0
svm_pca,43.0,0.9718634306869601,0.9736842105263158,0.02002669998910278,0.05444298240993368,15.6962890625,0.0
